kmeans_cluster,Cost_mean,Cost_median,num_reviews_mean,num_reviews_median,avg_sentiment_mean,pct_positive_mean,popularity_score_mean,value_score_mean,avg_rating_mean
0,1016.6666666666666,1000.0,100.0,100.0,0.0037006666666666668,0.0,189.95751166666665,0.5512630864355664,3.785833333333333
1,1518.421052631579,1400.0,100.0,100.0,0.0025002631578947367,0.0,189.2170910131579,0.519520886280286,3.775
2,700.0,700.0,99.92,100.0,0.0032579381818181818,0.0,159.76885174272726,0.49089028309817273,3.187561616161616
3,410.8695652173913,400.0,99.91304347826087,100.0,0.0035355551163812034,0.0,169.88705692918313,0.5779162036819637,3.388093983311375
4,937.0370370370371,800.0,98.48148148148148,100.0,0.001370357609710551,0.0,197.48003304466232,0.5921972461308351,4.004957480186238
