Name,Links,Cost,Cuisines,Timings,Cost_clean,cuisine_primary,_mkey,num_reviews,avg_sentiment,level_1,sentiment_score,pct_positive,pct_negative,avg_rating,num_cuisines,cuisine_north indian,cuisine_chinese,cuisine_continental,cuisine_biryani,cuisine_asian,cuisine_italian,cuisine_fast food,cuisine_desserts,cuisine_south indian,cuisine_kebab,is_open_late,price_per_star,sentiment_rating_gap,popularity_score,value_score,review_engagement,cuisine_diversity,kmeans_cluster,hierarchical_cluster
Driven Cafe,https://www.zomato.com/hyderabad/driven-cafe-gachibowli,600,"Cafe, Fast Food, Beverages",4 AM to 12 Midnight,600,Cafe,driven cafe,100,-0.001004,pct_negative,0.01,0,0,3.745,3,0,0,0,0,0,0,1,0,0,0,0,160.2135753768824,-1.2475100000000001,187.062001,0.5852846528075125,0.16638935108153077,11.235,3,0
Faasos,https://www.zomato.com/hyderabad/faasos-gachibowli,600,"Fast Food, Biryani, Desserts",9 AM to 1 AM,600,Fast Food,faasos,100,-0.00296,pct_positive,0.0,0,0,3.03,3,0,0,0,1,0,0,1,1,0,0,0,198.01973662714963,-0.5373999999999999,151.05156,0.47354138798578443,0.16638935108153077,9.09,3,0
Faasos,https://www.zomato.com/hyderabad/faasos-gachibowli,600,"Fast Food, Biryani, Desserts",9 AM to 1 AM,600,Fast Food,faasos,100,-0.00296,pct_negative,0.01,0,0,3.03,3,0,0,0,1,0,0,1,1,0,0,0,198.01973662714963,-0.5373999999999999,151.05156,0.47354138798578443,0.16638935108153077,9.09,3,0
Royal Spicy Restaurant,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,700,"North Indian, South Indian",10:30 AM to 11 PM,700,North Indian,royal spicy restaurant,100,-0.003612,pct_positive,0.0,0,0,3.74,2,1,0,0,0,0,0,0,0,1,0,1,187.16572535675792,-1.2490300000000003,186.324556,0.5707737394145799,0.14265335235378032,7.48,4,1
Royal Spicy Restaurant,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,700,"North Indian, South Indian",10:30 AM to 11 PM,700,North Indian,royal spicy restaurant,100,-0.003612,pct_negative,0.01,0,0,3.74,2,1,0,0,0,0,0,0,0,1,0,1,187.16572535675792,-1.2490300000000003,186.324556,0.5707737394145799,0.14265335235378032,7.48,4,1
The Old Madras Baking Company,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,350,Bakery,7 AM to 11 PM,350,Bakery,the old madras baking company,100,0.0,pct_positive,0.0,0,0,3.6161616161616164,1,0,0,0,0,0,0,0,0,0,0,0,96.78768273189779,-1.1161616161616164,180.80808080808083,0.6170095378455225,0.2849002849002849,3.6161616161616164,3,3
The Old Madras Baking Company,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,350,Bakery,7 AM to 11 PM,350,Bakery,the old madras baking company,100,0.0,pct_negative,0.0,0,0,3.6161616161616164,1,0,0,0,0,0,0,0,0,0,0,0,96.78768273189779,-1.1161616161616164,180.80808080808083,0.6170095378455225,0.2849002849002849,3.6161616161616164,3,3
Squeeze @ The Lime,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,650,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM",650,Italian,squeeze the lime,100,0.0,pct_positive,0.0,0,0,3.815,4,1,1,0,0,0,1,0,0,0,0,1,170.3800339764,-1.315,190.75,0.588869913270597,0.15360983102918588,15.26,1,1
Squeeze @ The Lime,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,650,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM",650,Italian,squeeze the lime,100,0.0,pct_negative,0.0,0,0,3.815,4,1,1,0,0,0,1,0,0,0,0,1,170.3800339764,-1.315,190.75,0.588869913270597,0.15360983102918588,15.26,1,1
Khaan Saab,https://www.zomato.com/hyderabad/khaan-saab-gachibowli,1100,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM",1100,North Indian,khaan saab,100,0.004939,pct_positive,0.01,0,0,3.8,2,1,0,0,0,0,0,0,0,0,0,1,289.47360803326103,-1.2876524999999996,190.93841,0.5425490419113775,0.09082652134423251,7.6,4,3
Khaan Saab,https://www.zomato.com/hyderabad/khaan-saab-gachibowli,1100,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM",1100,North Indian,khaan saab,100,0.004939,pct_negative,0.0,0,0,3.8,2,1,0,0,0,0,0,0,0,0,0,1,289.47360803326103,-1.2876524999999996,190.93841,0.5425490419113775,0.09082652134423251,7.6,4,3
Olive Garden,https://www.zomato.com/hyderabad/olive-garden-gachibowli,700,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM",700,North Indian,olive garden,99,0.0,pct_positive,0.0,0,0,3.7676767676767677,4,1,1,1,1,0,0,0,0,0,0,0,185.79083540672195,-1.2676767676767677,186.5,0.574997582243932,0.14122681883024252,15.070707070707071,2,1
Olive Garden,https://www.zomato.com/hyderabad/olive-garden-gachibowli,700,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM",700,North Indian,olive garden,99,0.0,pct_negative,0.0,0,0,3.7676767676767677,4,1,1,1,1,0,0,0,0,0,0,0,185.79083540672195,-1.2676767676767677,186.5,0.574997582243932,0.14122681883024252,15.070707070707071,2,1
Tandoori Food Works,https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,500,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",500,North Indian,tandoori food works,100,0.008673,pct_positive,0.03,0,0,3.27,3,1,0,0,0,0,0,0,0,0,1,0,152.9051520167731,-0.7483175000000002,164.9180355,0.5260104019488943,0.1996007984031936,9.81,0,4
Tandoori Food Works,https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,500,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",500,North Indian,tandoori food works,100,0.008673,pct_negative,0.01,0,0,3.27,3,1,0,0,0,0,0,0,0,0,1,0,152.9051520167731,-0.7483175000000002,164.9180355,0.5260104019488943,0.1996007984031936,9.81,0,4
Delhi-39,https://www.zomato.com/hyderabad/delhi-39-gachibowli,600,"North Indian, Chinese",11am to 11pm (Mon-Sun),600,North Indian,delhi39,100,0.0,pct_positive,0.0,0,0,2.975,2,1,1,0,0,0,0,0,0,0,0,0,201.68060447710772,-0.4750000000000001,148.75,0.46494575223026696,0.16638935108153077,5.95,2,3
