Name,Links,Cost,Cuisines,Timings,Cost_clean,cuisine_primary,_mkey,num_reviews,avg_sentiment,level_1,sentiment_score,pct_positive,pct_negative,avg_rating,num_cuisines,cuisine_north indian,cuisine_chinese,cuisine_continental,cuisine_biryani,cuisine_asian,cuisine_italian,cuisine_fast food,cuisine_desserts,cuisine_south indian,cuisine_kebab,is_open_late,price_per_star,sentiment_rating_gap,popularity_score,value_score,review_engagement,cuisine_diversity,kmeans_cluster,hierarchical_cluster
Desi Bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed",400,North Indian,desi bytes,100,0.0,pct_positive,0.0,0,0,2.9,2,1,1,0,0,0,0,0,0,0,0,0,137.93098692034934,-0.3999999999999999,145.0,0.4838201832544913,0.24937655860349128,5.8,2,3
Desi Bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed",400,North Indian,desi bytes,100,0.0,pct_negative,0.0,0,0,2.9,2,1,1,0,0,0,0,0,0,0,0,0,137.93098692034934,-0.3999999999999999,145.0,0.4838201832544913,0.24937655860349128,5.8,2,3
Hyderabadi Daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun),600,Hyderabadi,hyderabadi daawat,100,0.0006520000000000003,pct_positive,0.01,0,0,3.83,3,0,1,0,0,0,0,0,0,0,0,1,156.65792254362336,-1.3283699999999996,191.62485800000002,0.5985688171569487,0.16638935108153077,11.49,4,3
Hyderabadi Daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun),600,Hyderabadi,hyderabadi daawat,100,0.0006520000000000003,pct_negative,0.01,0,0,3.83,3,0,1,0,0,0,0,0,0,0,0,1,156.65792254362336,-1.3283699999999996,191.62485800000002,0.5985688171569487,0.16638935108153077,11.49,4,3
Zega - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,1750,"Asian, Sushi",12Noon to 2AM (Mon-Sun),1750,Asian,zega sheraton hyderabad hotel,100,0.0,pct_positive,0.0,0,0,4.45,2,0,0,0,0,1,0,0,0,0,0,0,393.2583385936318,-1.9500000000000002,222.5,0.5958802580573286,0.05711022272986865,8.9,4,2
Zega - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,1750,"Asian, Sushi",12Noon to 2AM (Mon-Sun),1750,Asian,zega sheraton hyderabad hotel,100,0.0,pct_negative,0.0,0,0,4.45,2,0,0,0,0,1,0,0,0,0,0,0,393.2583385936318,-1.9500000000000002,222.5,0.5958802580573286,0.05711022272986865,8.9,4,2
Triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400,North Indian,11 AM to 11 PM,400,North Indian,triptify,100,0.0,pct_positive,0.0,0,0,3.55,1,1,0,0,0,0,0,0,0,0,0,0,112.67602459830293,-1.0499999999999998,177.5,0.5922626381218773,0.24937655860349128,3.55,3,3
Triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400,North Indian,11 AM to 11 PM,400,North Indian,triptify,100,0.0,pct_negative,0.0,0,0,3.55,1,1,0,0,0,0,0,0,0,0,0,0,112.67602459830293,-1.0499999999999998,177.5,0.5922626381218773,0.24937655860349128,3.55,3,3
Chinese Pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,1000,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM",1000,Chinese,chinese pavilion,100,0.0009199999999999997,pct_positive,0.01,0,0,3.745,2,0,1,0,0,0,0,0,0,0,0,0,267.02262562813735,-1.2427000000000001,187.42227,0.5420657669232586,0.0999000999000999,7.49,4,3
Chinese Pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,1000,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM",1000,Chinese,chinese pavilion,100,0.0009199999999999997,pct_negative,0.01,0,0,3.745,2,0,1,0,0,0,0,0,0,0,0,0,267.02262562813735,-1.2427000000000001,187.42227,0.5420657669232586,0.0999000999000999,7.49,4,3
